nicknames;application/kernel;Num. of Registers;sm_efficiency(Avg)%;achieved_occupancy(Avg);total_global_transactions;shared_total_transactions;inst_fp_32(Avg);inst_fp_64(Avg);inst_integer(Avg);time_percentage
R_X2;srad-v2  srad_cuda_2float*, float*, float*, float*, float*, float*, int, int, float, float;20;99.2;0.974011;8400896;1458176;16777216;8388608;235044864;43.567204
S_C1;level1_BFS  BFS_kernel_warpunsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*;14;3.04;0.289038;5186;0;1024;0;293199;100
S_D1;level1_FFT  void chk512_device<double2>double2 const *, int, char*;54;35.8;0.068365;32768;0;0;65536;53248;4.375177
S_D2;level1_FFT  void chk512_device<float2>float2 const *, int, char*;38;36.86;0.132327;32768;0;131072;0;106496;3.9810936
S_D3;level1_FFT  void FFT512_device<double2, double>double2*;48;72.59;0.13583;65536;32768;344064;2048000;139264;33.91998
S_D4;level1_FFT  void IFFT512_device<float2, float>float2*;32;63.72;0.255755;65536;40960;4816896;229376;278528;11.183061
S_D5;level1_FFT  void IFFT512_device<double2, double>double2*;48;73.29;0.13582;65536;32768;344064;2179072;139264;35.145794
S_D6;level1_FFT  void FFT512_device<float2, float>float2*;32;63.99;0.256124;65536;40960;4554752;229376;278528;11.394901
S_E2;level1_GEMM  void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=1>double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int;48;63.95;0.0705;69632;81920;0;2117632;847872;38.408844
S_E4;level1_GEMM  void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=0>double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int;48;63.48;0.070867;69632;81920;0;2117632;884736;39.330727
S_F1;level1_MD5Hash  FindKeyWithDigest_Kernelunsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*;31;98.64;0.887908;13;0;1000320;0;2365020688;100
S_G1;level1_MD  void compute_lj_force<float, float3, float4, bool=1, texReader_sp>float3*, float4 const *, int, int const *, float, float, float, int;27;93.64;0.214223;417792;0;29854056;0;10117722;28.178919
S_G2;level1_MD  void compute_lj_force<double, double3, double4, bool=1, texReader_dp>double3*, double4 const *, int, int const *, double, double, double, int;36;90.35;0.221085;445440;0;3140668;31424390;10184222;71.82109
S_H1;level1_NeuralNet  kernelFeedForward3float*, float*, int, float*;15;12.59;0.015624;180;0;3200;1200;2800;2.029645
S_H2;level1_NeuralNet  kernelBackprop3bfloat*, int, float*;12;1.43;0.015624;20;0;450;270;240;12.437875
S_H4;level1_NeuralNet  kernelBackprop3afloat*, int, int, int, float*, int;20;2.07;0.015625;172;0;300;0;2760;20.106699
S_H5;level1_NeuralNet  kernelInitNablaBfloat*;8;0.7;0.031164;5;0;0;0;120;0.6598133
S_H6;level1_NeuralNet  kernelBackprop2float*, int, float*, float*, float;20;1.33;0.015624;8;0;160;100;150;12.767474
S_H7;level1_NeuralNet  kernelBackprop1float*, int, float*, float*, int;8;21.4;0.196528;5966;0;11910;0;166740;17.952646
S_H9;level1_NeuralNet  kernelInitNablaWfloat*, int;8;18.81;0.470579;2978;0;0;0;169764;0.63973415
S_I1;level1_Reduction  void reduce<float, int=256>float const *, float*, unsigned int;11;48.07;0.262325;65600;11072;286720;0;868544;48.901684
S_I2;level1_Reduction  void reduce<double, int=256>double const *, double*, unsigned int;16;48.66;0.246683;32832;13888;0;155648;540864;51.098312
S_J1;level1_Scan  void reduce<float, int=256>float const *, float*, int;27;61.57;0.272636;65600;2880;303104;0;1097920;25.693985
S_J2;level1_Scan  void reduce<double, int=256>double const *, double*, int;30;60.76;0.263513;32832;5696;16384;155648;1097920;0.5777756
S_J3;level1_Scan  void bottom_scan<double, double4, int=256>double const *, double*, double const *, int;32;69.68;0.278785;131136;56704;16384;524288;1048512;1.4679013
S_J4;level1_Scan  void scan_single_block<double, int=256>double*, int;16;1.67;0.123722;32;432;0;2048;1280;0.33556092
S_J5;level1_Scan  void scan_single_block<float, int=256>float*, int;8;1.49;0.123416;24;216;2048;0;1280;16.614605
S_J6;level1_Scan  void bottom_scan<float, float4, int=256>float const *, float*, float const *, int;24;73.3;0.283313;65600;57664;1064960;0;999360;55.310177
S_K1;level1_Sort  scanunsigned int*, unsigned int*, unsigned int*, int, bool, bool;15;7.75;0.120344;1028;972;254;0;37524;13.771209
S_K2;level1_Sort  findRadixOffsetsuint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int;10;65.75;0.846432;41984;50368;0;0;3103424;12.70123
S_K3;level1_Sort  radixSortBlocksunsigned int, unsigned int, uint4*, uint4*, uint4*, uint4*;31;82.55;0.759241;131072;358400;0;0;16975872;48.218815
